0_x,0_y,0_score,1_x,1_y,1_score,2_x,2_y,2_score,3_x,3_y,3_score,4_x,4_y,4_score,5_x,5_y,5_score,6_x,6_y,6_score,7_x,7_y,7_score,8_x,8_y,8_score,9_x,9_y,9_score,10_x,10_y,10_score,11_x,11_y,11_score,12_x,12_y,12_score,13_x,13_y,13_score,14_x,14_y,14_score,15_x,15_y,15_score,16_x,16_y,16_score,17_x,17_y,17_score,type_index,type_str,file_name
0.5,0.29,0.86,0.49,0.38,0.91,0.44,0.38,0.8,0.4,0.47,0.75,0.42,0.55,0.79,0.54,0.39,0.79,0.56,0.48,0.87,0.55,0.56,0.79,0.45,0.58,0.72,0.44,0.74,0.86,0.43,0.89,0.79,0.52,0.59,0.68,0.52,0.74,0.87,0.53,0.89,0.76,0.49,0.28,0.91,0.5,0.28,0.89,0.47,0.29,0.96,0.52,0.29,0.89,0,stand,./input/stand/Colour 87 (2)-stand.png
0.5,0.28,0.62,0.49,0.37,0.89,0.44,0.37,0.74,0.43,0.47,0.87,0.43,0.55,0.67,0.54,0.38,0.79,0.55,0.47,0.68,0.55,0.57,0.81,0.46,0.56,0.67,0.45,0.72,0.81,0.45,0.87,0.8,0.52,0.56,0.66,0.5,0.72,0.87,0.5,0.86,0.74,0.49,0.27,0.73,0.51,0.27,0.73,0.47,0.28,0.56,0.51,0.29,0.16,0,stand,./input/stand/Colour 142 (5)-stand.png
0.48,0.36,0.85,0.48,0.45,0.84,0.44,0.44,0.93,0.42,0.54,0.78,0.41,0.63,0.79,0.53,0.45,0.94,0.54,0.54,0.72,0.54,0.64,0.89,0.44,0.62,0.69,0.44,0.78,0.8,0.43,0.91,0.77,0.51,0.62,0.76,0.51,0.78,0.81,0.52,0.91,0.81,0.47,0.35,0.91,0.49,0.35,0.92,0.46,0.36,0.84,0.5,0.36,0.97,0,stand,./input/stand/Colour 37 (6)-stand.png
0.47,0.33,0.88,0.46,0.41,0.8,0.42,0.4,0.9,0.4,0.51,0.9,0.4,0.6,0.85,0.51,0.41,0.86,0.52,0.51,0.9,0.52,0.6,0.88,0.43,0.6,0.78,0.43,0.74,0.77,0.42,0.88,0.84,0.5,0.6,0.74,0.5,0.74,0.84,0.5,0.89,0.73,0.46,0.32,0.88,0.48,0.32,0.88,0.44,0.33,0.73,0.5,0.33,0.76,0,stand,./input/stand/Colour 25-fps-118.png
0.53,0.24,0.95,0.53,0.35,0.86,0.48,0.35,0.8,0.46,0.46,0.79,0.46,0.55,0.87,0.58,0.35,0.83,0.6,0.46,0.88,0.59,0.55,0.87,0.5,0.54,0.64,0.5,0.71,0.73,0.5,0.86,0.73,0.56,0.54,0.72,0.55,0.71,0.83,0.55,0.86,0.74,0.52,0.23,0.76,0.54,0.23,0.87,0.5,0.26,0.86,0.56,0.25,0.89,0,stand,./input/stand/Colour 75-misc-187.png
0.55,0.24,0.9,0.54,0.34,0.84,0.49,0.34,0.83,0.47,0.46,0.88,0.45,0.56,0.83,0.6,0.34,0.77,0.61,0.46,0.87,0.61,0.57,0.8,0.5,0.53,0.67,0.5,0.71,0.73,0.5,0.86,0.61,0.57,0.53,0.68,0.56,0.72,0.79,0.56,0.88,0.83,0.54,0.23,0.88,0.56,0.24,0.88,0.52,0.25,0.95,0.57,0.26,0.82,0,stand,./input/stand/Colour 190 (7)-stand.png
0.54,0.24,0.84,0.53,0.34,0.75,0.48,0.34,0.74,0.46,0.45,0.73,0.48,0.53,0.83,0.59,0.34,0.82,0.6,0.45,0.85,0.59,0.54,0.8,0.5,0.54,0.69,0.5,0.71,0.83,0.5,0.86,0.77,0.57,0.54,0.67,0.56,0.71,0.81,0.55,0.86,0.77,0.53,0.23,0.93,0.55,0.23,0.82,0.51,0.25,0.9,0.56,0.25,0.78,0,stand,./input/stand/Colour 169 (6)-stand.png
0.54,0.27,0.97,0.53,0.36,0.89,0.48,0.36,0.81,0.46,0.47,0.87,0.46,0.56,0.81,0.58,0.36,0.9,0.59,0.47,0.85,0.59,0.57,0.78,0.5,0.54,0.65,0.49,0.71,0.84,0.49,0.84,0.82,0.56,0.54,0.71,0.56,0.71,0.83,0.56,0.85,0.76,0.53,0.26,0.8,0.56,0.26,0.79,0.51,0.27,0.84,0.56,0.28,0.84,0,stand,./input/stand/Colour 60-misc-208.png
0.46,0.32,0.78,0.45,0.4,0.96,0.4,0.4,0.8,0.38,0.49,0.8,0.38,0.59,0.83,0.5,0.4,0.8,0.52,0.5,0.76,0.52,0.59,0.87,0.42,0.59,0.75,0.42,0.73,0.74,0.41,0.88,0.85,0.49,0.59,0.76,0.48,0.73,0.7,0.48,0.89,0.65,0.45,0.31,0.98,0.47,0.32,0.97,0.44,0.32,0.8,0.48,0.33,0.77,0,stand,./input/stand/Colour 106  (9)-stand.png
0.49,0.29,0.95,0.49,0.39,0.84,0.44,0.39,0.7,0.43,0.49,0.73,0.44,0.58,0.84,0.53,0.39,0.79,0.54,0.5,0.82,0.54,0.59,0.86,0.45,0.59,0.68,0.44,0.73,0.75,0.43,0.87,0.87,0.51,0.59,0.66,0.52,0.74,0.76,0.52,0.88,0.83,0.48,0.29,0.86,0.5,0.29,0.91,0.47,0.3,0.8,0.51,0.3,0.86,0,stand,./input/stand/Colour 43-misc-103.png
0.48,0.35,0.91,0.48,0.43,0.78,0.44,0.43,0.86,0.42,0.53,0.87,0.41,0.62,0.88,0.52,0.43,0.88,0.54,0.54,0.79,0.55,0.62,0.86,0.44,0.61,0.7,0.44,0.77,0.77,0.44,0.91,0.75,0.51,0.62,0.8,0.51,0.77,0.89,0.51,0.91,0.71,0.47,0.34,0.9,0.5,0.34,0.83,0.46,0.36,0.91,0.5,0.36,0.92,0,stand,./input/stand/Colour 22 (4)-stand.png
0.53,0.27,0.92,0.51,0.35,0.74,0.46,0.34,0.76,0.44,0.46,0.86,0.45,0.55,0.94,0.56,0.34,0.78,0.58,0.46,0.84,0.57,0.55,0.92,0.49,0.54,0.71,0.48,0.71,0.72,0.48,0.86,0.76,0.55,0.54,0.68,0.54,0.71,0.72,0.53,0.86,0.75,0.52,0.25,0.89,0.54,0.26,0.95,0.5,0.26,0.79,0.55,0.26,0.41,0,stand,./input/stand/Colour 87-golf-173.png
0.47,0.31,0.96,0.48,0.4,0.82,0.43,0.4,0.91,0.41,0.51,0.87,0.41,0.6,0.8,0.53,0.4,0.9,0.54,0.51,0.86,0.54,0.61,0.88,0.44,0.6,0.61,0.44,0.76,0.76,0.43,0.89,0.84,0.51,0.61,0.72,0.5,0.76,0.8,0.5,0.9,0.85,0.46,0.3,0.85,0.48,0.29,0.86,0.45,0.31,0.52,0.5,0.3,0.79,0,stand,./input/stand/Colour 42 (20)-stand.png
0.55,0.24,0.93,0.54,0.35,0.84,0.49,0.35,0.81,0.46,0.46,0.79,0.47,0.54,0.91,0.6,0.34,0.77,0.61,0.45,0.8,0.6,0.54,0.93,0.51,0.54,0.73,0.51,0.7,0.86,0.5,0.85,0.84,0.57,0.54,0.62,0.56,0.71,0.77,0.55,0.86,0.8,0.54,0.23,0.78,0.56,0.23,0.86,0.52,0.25,0.84,0.57,0.26,0.78,0,stand,./input/stand/Colour 169 (17)-stand.png
0.51,0.27,0.87,0.51,0.35,0.88,0.46,0.35,0.8,0.44,0.46,0.78,0.44,0.56,0.8,0.56,0.35,0.9,0.58,0.46,0.84,0.58,0.55,0.87,0.47,0.57,0.69,0.48,0.71,0.82,0.48,0.84,0.79,0.54,0.56,0.7,0.54,0.71,0.84,0.55,0.85,0.74,0.5,0.26,0.91,0.53,0.26,0.91,0.49,0.27,0.91,0.54,0.27,0.93,0,stand,./input/stand/Colour 43-misc-166.png
0.47,0.27,0.96,0.47,0.35,0.95,0.42,0.36,0.86,0.41,0.46,0.8,0.41,0.57,0.74,0.52,0.35,0.88,0.54,0.47,0.88,0.54,0.57,0.81,0.44,0.58,0.76,0.44,0.74,0.82,0.43,0.89,0.8,0.5,0.58,0.75,0.51,0.74,0.84,0.5,0.89,0.8,0.46,0.26,0.75,0.48,0.26,0.82,0.45,0.27,0.91,0.5,0.27,0.81,0,stand,./input/stand/Colour 42-misc-82.png
0.47,0.33,0.85,0.46,0.4,0.88,0.42,0.4,0.87,0.4,0.5,0.8,0.4,0.59,0.89,0.51,0.4,0.91,0.53,0.51,0.88,0.53,0.6,0.89,0.44,0.59,0.76,0.44,0.73,0.73,0.44,0.88,0.81,0.5,0.59,0.68,0.49,0.74,0.81,0.49,0.89,0.75,0.46,0.32,0.87,0.48,0.32,0.91,0.44,0.33,0.78,0.5,0.33,0.77,0,stand,./input/stand/Colour 106  (10)-stand.png
0.46,0.28,0.87,0.46,0.36,0.8,0.41,0.36,0.78,0.39,0.47,0.87,0.39,0.56,0.82,0.5,0.36,0.83,0.52,0.47,0.85,0.52,0.57,0.84,0.42,0.58,0.7,0.42,0.73,0.78,0.41,0.87,0.83,0.49,0.58,0.75,0.49,0.73,0.87,0.49,0.86,0.79,0.45,0.27,0.92,0.47,0.27,0.94,0.44,0.28,0.82,0.48,0.28,0.77,0,stand,./input/stand/Colour 24-fps-76.png
0.5,0.27,0.98,0.5,0.37,0.78,0.45,0.36,0.77,0.44,0.47,0.76,0.43,0.57,0.85,0.55,0.37,0.84,0.56,0.48,0.76,0.56,0.57,0.92,0.46,0.58,0.69,0.47,0.73,0.86,0.47,0.86,0.74,0.53,0.58,0.75,0.52,0.73,0.91,0.52,0.87,0.75,0.5,0.26,0.88,0.51,0.26,0.79,0.48,0.28,0.61,0.53,0.28,0.71,0,stand,./input/stand/Colour 50-misc-232.png
0.47,0.27,0.95,0.47,0.35,0.93,0.42,0.35,0.88,0.4,0.46,0.73,0.39,0.55,0.88,0.52,0.35,0.77,0.54,0.46,0.77,0.54,0.55,0.85,0.43,0.57,0.68,0.43,0.73,0.72,0.43,0.88,0.76,0.5,0.58,0.68,0.5,0.73,0.7,0.5,0.88,0.7,0.46,0.26,0.87,0.48,0.26,0.83,0.44,0.27,0.8,0.49,0.27,0.9,0,stand,./input/stand/Colour 64 (20)-stand.png
0.49,0.29,0.96,0.48,0.39,0.8,0.44,0.38,0.86,0.42,0.49,0.86,0.43,0.58,0.81,0.53,0.39,0.77,0.54,0.5,0.83,0.53,0.59,0.85,0.45,0.59,0.7,0.44,0.74,0.84,0.43,0.88,0.89,0.51,0.59,0.76,0.52,0.74,0.84,0.52,0.89,0.82,0.48,0.28,0.76,0.5,0.28,0.76,0.46,0.29,0.85,0.51,0.29,0.91,0,stand,./input/stand/Colour 30-golf-88.png
0.48,0.33,0.77,0.47,0.4,0.91,0.43,0.4,0.87,0.41,0.5,0.78,0.4,0.59,0.78,0.52,0.41,0.82,0.54,0.51,0.78,0.54,0.6,0.81,0.44,0.59,0.73,0.44,0.74,0.74,0.44,0.88,0.83,0.5,0.59,0.77,0.49,0.74,0.8,0.48,0.88,0.77,0.47,0.32,1.0,0.49,0.32,0.95,0.45,0.33,0.82,0.5,0.33,0.84,0,stand,./input/stand/Colour 106  (18)-stand.png
0.51,0.27,0.98,0.5,0.37,0.79,0.46,0.36,0.75,0.44,0.47,0.77,0.44,0.56,0.8,0.55,0.37,0.84,0.56,0.48,0.78,0.56,0.57,0.88,0.47,0.58,0.72,0.47,0.73,0.87,0.47,0.86,0.72,0.53,0.58,0.74,0.52,0.73,0.92,0.52,0.87,0.76,0.5,0.26,0.83,0.52,0.26,0.83,0.49,0.28,0.65,0.53,0.28,0.66,0,stand,./input/stand/Colour 8-misc-232.png
0.45,0.28,0.86,0.45,0.36,0.82,0.41,0.37,0.76,0.39,0.47,0.9,0.39,0.56,0.83,0.5,0.36,0.83,0.52,0.47,0.88,0.52,0.57,0.79,0.42,0.58,0.7,0.42,0.73,0.78,0.41,0.87,0.84,0.49,0.58,0.76,0.49,0.73,0.88,0.49,0.86,0.79,0.44,0.27,0.91,0.46,0.27,0.93,0.43,0.28,0.77,0.48,0.28,0.74,0,stand,./input/stand/Colour 85-fps-76.png
0.51,0.26,0.94,0.51,0.36,0.93,0.46,0.36,0.76,0.45,0.47,0.9,0.44,0.56,0.8,0.55,0.36,0.77,0.56,0.47,0.89,0.57,0.56,0.77,0.47,0.57,0.75,0.47,0.73,0.85,0.45,0.87,0.75,0.54,0.57,0.66,0.53,0.73,0.82,0.53,0.88,0.79,0.5,0.25,0.84,0.52,0.26,0.87,0.49,0.27,0.73,0.53,0.27,0.65,0,stand,./input/stand/Colour 214 (9)-stand.png
0.5,0.27,0.81,0.49,0.35,0.92,0.44,0.36,0.79,0.43,0.47,0.82,0.43,0.57,0.82,0.53,0.35,0.73,0.55,0.46,0.73,0.55,0.55,0.91,0.46,0.56,0.63,0.46,0.72,0.76,0.44,0.87,0.7,0.52,0.56,0.68,0.51,0.72,0.86,0.51,0.88,0.82,0.49,0.26,0.8,0.5,0.26,0.81,0.47,0.27,0.74,0.52,0.27,0.69,0,stand,./input/stand/Colour 29-fps-139.png
0.52,0.27,0.96,0.51,0.36,0.77,0.47,0.36,0.9,0.45,0.46,0.9,0.44,0.56,0.82,0.56,0.36,0.85,0.57,0.47,0.75,0.57,0.57,0.81,0.48,0.58,0.69,0.48,0.73,0.83,0.47,0.87,0.75,0.54,0.58,0.73,0.53,0.73,0.71,0.53,0.89,0.72,0.51,0.26,0.88,0.53,0.26,0.81,0.5,0.27,0.67,0.55,0.27,0.75,0,stand,./input/stand/Colour 214 (6)-stand.png
0.53,0.24,0.95,0.53,0.35,0.83,0.47,0.35,0.8,0.45,0.45,0.83,0.46,0.54,0.9,0.58,0.34,0.86,0.6,0.45,0.83,0.59,0.54,0.79,0.5,0.54,0.65,0.5,0.72,0.7,0.5,0.86,0.82,0.56,0.54,0.73,0.55,0.72,0.71,0.55,0.86,0.75,0.52,0.23,0.78,0.54,0.23,0.87,0.5,0.26,0.85,0.56,0.25,0.82,0,stand,./input/stand/Colour 169 (10)-stand.png
0.46,0.28,0.86,0.45,0.36,0.83,0.41,0.36,0.76,0.39,0.47,0.92,0.39,0.56,0.84,0.5,0.36,0.82,0.52,0.47,0.85,0.52,0.57,0.81,0.42,0.58,0.71,0.42,0.73,0.81,0.41,0.87,0.84,0.49,0.58,0.77,0.49,0.73,0.87,0.49,0.86,0.8,0.44,0.27,0.92,0.47,0.27,0.95,0.44,0.28,0.83,0.48,0.28,0.73,0,stand,./input/stand/Colour 65-fps-76.png
0.49,0.28,0.82,0.49,0.38,0.94,0.44,0.38,0.82,0.4,0.46,0.87,0.41,0.54,0.82,0.54,0.38,0.83,0.56,0.47,0.91,0.56,0.54,0.74,0.45,0.59,0.7,0.42,0.74,0.69,0.39,0.89,0.76,0.52,0.59,0.7,0.54,0.74,0.79,0.56,0.9,0.86,0.48,0.27,0.84,0.5,0.27,0.92,0.47,0.29,0.89,0.52,0.29,0.85,0,stand,./input/stand/Colour 87 (9)-stand.png
0.53,0.27,0.97,0.52,0.35,0.91,0.47,0.35,0.89,0.45,0.46,0.84,0.44,0.55,0.86,0.57,0.35,0.83,0.59,0.46,0.81,0.6,0.55,0.86,0.48,0.56,0.65,0.49,0.71,0.87,0.49,0.83,0.86,0.55,0.56,0.57,0.55,0.71,0.86,0.54,0.85,0.77,0.51,0.26,0.81,0.54,0.26,0.82,0.5,0.26,0.82,0.55,0.27,0.81,0,stand,./input/stand/Colour 87-golf-151.png
0.53,0.24,0.96,0.52,0.35,0.9,0.47,0.35,0.88,0.45,0.46,0.92,0.46,0.55,0.89,0.57,0.35,0.78,0.59,0.46,0.8,0.58,0.55,0.94,0.49,0.54,0.72,0.5,0.71,0.76,0.5,0.85,0.82,0.56,0.54,0.65,0.55,0.71,0.82,0.55,0.86,0.79,0.51,0.24,0.76,0.54,0.24,0.81,0.5,0.26,0.74,0.55,0.26,0.7,0,stand,./input/stand/Colour 185 (7)-stand.png
0.5,0.28,0.79,0.49,0.37,0.87,0.44,0.37,0.79,0.43,0.47,0.86,0.43,0.57,0.82,0.54,0.38,0.81,0.55,0.47,0.66,0.55,0.57,0.9,0.46,0.57,0.63,0.45,0.72,0.84,0.44,0.86,0.72,0.52,0.57,0.67,0.5,0.72,0.88,0.5,0.88,0.76,0.49,0.27,0.86,0.51,0.27,0.85,0.47,0.28,0.67,0.52,0.28,0.46,0,stand,./input/stand/Colour 22-misc-145.png
0.48,0.29,0.91,0.47,0.4,0.91,0.42,0.4,0.78,0.4,0.51,0.88,0.4,0.6,0.92,0.52,0.4,0.83,0.55,0.5,0.84,0.56,0.59,0.85,0.44,0.61,0.63,0.44,0.76,0.76,0.44,0.9,0.77,0.51,0.61,0.72,0.5,0.76,0.78,0.5,0.9,0.79,0.46,0.28,0.87,0.49,0.28,0.87,0.45,0.29,0.93,0.5,0.29,0.86,0,stand,./input/stand/Colour 111-misc-62.png
0.46,0.3,0.86,0.46,0.4,0.89,0.42,0.4,0.88,0.4,0.51,0.86,0.39,0.6,0.8,0.51,0.4,0.85,0.54,0.5,0.74,0.54,0.6,0.92,0.44,0.61,0.69,0.44,0.76,0.72,0.44,0.9,0.78,0.5,0.6,0.68,0.5,0.76,0.72,0.5,0.9,0.74,0.45,0.29,0.94,0.48,0.29,0.89,0.44,0.3,0.73,0.49,0.3,0.87,0,stand,./input/stand/Colour 58 (4)-stand.png
0.54,0.27,0.97,0.53,0.36,0.89,0.48,0.36,0.81,0.46,0.47,0.86,0.46,0.56,0.79,0.58,0.36,0.9,0.59,0.47,0.85,0.59,0.57,0.77,0.5,0.55,0.68,0.49,0.71,0.84,0.49,0.84,0.82,0.56,0.54,0.73,0.56,0.71,0.84,0.56,0.85,0.79,0.53,0.26,0.79,0.56,0.26,0.8,0.51,0.27,0.83,0.56,0.28,0.84,0,stand,./input/stand/Colour 67-misc-208.png
0.51,0.24,0.88,0.51,0.35,0.8,0.46,0.35,0.74,0.44,0.46,0.79,0.45,0.55,0.91,0.56,0.34,0.82,0.58,0.46,0.87,0.57,0.55,0.84,0.48,0.53,0.63,0.48,0.71,0.74,0.48,0.86,0.77,0.54,0.53,0.77,0.53,0.71,0.78,0.53,0.86,0.77,0.5,0.23,0.85,0.52,0.23,0.88,0.49,0.26,0.9,0.54,0.26,0.84,0,stand,./input/stand/Colour 76-golf-173.png
0.51,0.28,0.82,0.5,0.35,0.94,0.46,0.36,0.83,0.44,0.46,0.81,0.44,0.55,0.86,0.56,0.35,0.74,0.61,0.33,0.81,0.6,0.24,0.82,0.47,0.56,0.69,0.48,0.71,0.88,0.47,0.83,0.88,0.54,0.55,0.74,0.54,0.71,0.76,0.54,0.85,0.75,0.5,0.26,0.93,0.53,0.27,0.97,0.49,0.27,0.93,0.54,0.28,0.48,1,wave,./input/wave/Colour 103-167-wave.png
0.47,0.27,0.96,0.47,0.35,0.95,0.42,0.36,0.85,0.4,0.47,0.83,0.4,0.57,0.77,0.52,0.35,0.81,0.58,0.41,0.84,0.55,0.32,0.92,0.44,0.58,0.76,0.44,0.74,0.82,0.43,0.89,0.75,0.5,0.58,0.72,0.5,0.74,0.79,0.5,0.88,0.76,0.46,0.26,0.72,0.48,0.26,0.78,0.44,0.27,0.85,0.5,0.27,0.81,1,wave,./input/wave/Colour 91-83-wave.png
0.5,0.27,0.97,0.5,0.36,0.83,0.45,0.36,0.8,0.44,0.47,0.79,0.44,0.56,0.79,0.54,0.36,0.88,0.59,0.41,0.81,0.58,0.32,0.86,0.47,0.57,0.7,0.47,0.73,0.88,0.47,0.87,0.7,0.53,0.57,0.73,0.52,0.73,0.91,0.52,0.87,0.75,0.5,0.26,0.87,0.51,0.26,0.79,0.48,0.27,0.62,0.53,0.28,0.69,1,wave,./input/wave/Colour 182-232-wave.png
0.5,0.27,0.97,0.5,0.36,0.88,0.46,0.36,0.75,0.44,0.47,0.73,0.44,0.56,0.77,0.54,0.36,0.91,0.6,0.4,0.9,0.56,0.32,0.79,0.47,0.58,0.71,0.47,0.73,0.89,0.47,0.86,0.71,0.53,0.58,0.72,0.52,0.73,0.92,0.52,0.87,0.76,0.5,0.27,0.87,0.51,0.26,0.75,0.49,0.28,0.55,0.53,0.27,0.7,1,wave,./input/wave/Colour 163-232-wave.png
0.49,0.33,0.95,0.48,0.4,0.83,0.44,0.41,0.88,0.41,0.51,0.88,0.41,0.6,0.85,0.53,0.4,0.92,0.59,0.36,0.77,0.61,0.27,0.82,0.45,0.6,0.76,0.45,0.74,0.84,0.44,0.88,0.79,0.51,0.6,0.75,0.51,0.74,0.88,0.51,0.89,0.76,0.48,0.32,0.83,0.5,0.32,0.78,0.46,0.33,0.78,0.51,0.33,0.87,1,wave,./input/wave/Colour 102-124-wave.png
0.5,0.28,0.68,0.49,0.37,0.88,0.45,0.37,0.82,0.44,0.47,0.55,0.44,0.46,0.68,0.54,0.38,0.75,0.55,0.47,0.7,0.54,0.56,0.85,0.46,0.57,0.63,0.45,0.72,0.85,0.44,0.87,0.69,0.52,0.57,0.69,0.5,0.72,0.89,0.5,0.88,0.76,0.49,0.27,0.77,0.51,0.27,0.79,0.48,0.28,0.56,0.52,0.28,0.41,1,wave,./input/wave/Colour 104-145-wave.png
0.53,0.24,0.92,0.52,0.34,0.82,0.47,0.35,0.87,0.45,0.46,0.86,0.46,0.55,0.91,0.57,0.34,0.8,0.61,0.29,0.87,0.59,0.18,0.86,0.5,0.54,0.6,0.5,0.71,0.7,0.5,0.86,0.72,0.56,0.54,0.69,0.55,0.71,0.74,0.55,0.86,0.73,0.52,0.23,0.81,0.54,0.23,0.87,0.5,0.26,0.83,0.56,0.26,0.79,1,wave,./input/wave/Colour 108-189-wave.png
0.48,0.3,0.84,0.47,0.39,0.92,0.42,0.39,0.74,0.36,0.43,0.88,0.34,0.33,0.84,0.52,0.4,0.84,0.54,0.5,0.77,0.54,0.59,0.9,0.44,0.6,0.66,0.44,0.76,0.69,0.44,0.9,0.76,0.5,0.6,0.66,0.5,0.76,0.67,0.5,0.9,0.7,0.47,0.29,0.94,0.49,0.29,0.96,0.45,0.3,0.87,0.5,0.3,0.76,1,wave,./input/wave/Colour 90-63-wave.png
0.48,0.35,0.83,0.48,0.43,0.7,0.44,0.43,0.9,0.42,0.53,0.82,0.41,0.63,0.77,0.52,0.43,0.83,0.54,0.48,0.79,0.49,0.41,0.84,0.44,0.62,0.71,0.44,0.78,0.7,0.44,0.92,0.83,0.51,0.62,0.76,0.51,0.78,0.81,0.52,0.92,0.74,0.47,0.34,0.91,0.49,0.34,0.93,0.45,0.36,0.75,0.5,0.35,0.93,1,wave,./input/wave/Colour 155-40-wave.png
0.49,0.33,0.9,0.48,0.4,0.83,0.44,0.41,0.85,0.41,0.5,0.83,0.41,0.59,0.88,0.52,0.4,0.91,0.6,0.39,0.86,0.63,0.32,0.88,0.45,0.59,0.76,0.45,0.74,0.79,0.44,0.88,0.76,0.51,0.59,0.75,0.51,0.74,0.85,0.51,0.89,0.79,0.48,0.32,0.87,0.5,0.32,0.81,0.46,0.33,0.73,0.51,0.33,0.88,1,wave,./input/wave/Colour 128-125-wave.png
0.53,0.24,0.85,0.52,0.34,0.88,0.48,0.35,0.84,0.46,0.46,0.78,0.46,0.55,0.86,0.57,0.33,0.8,0.61,0.25,0.91,0.57,0.16,0.8,0.5,0.54,0.58,0.5,0.71,0.7,0.5,0.86,0.75,0.56,0.54,0.71,0.55,0.71,0.75,0.55,0.87,0.75,0.52,0.23,0.89,0.54,0.23,0.9,0.5,0.26,0.84,0.56,0.26,0.84,1,wave,./input/wave/Colour 126-187-wave.png
0.5,0.27,0.78,0.49,0.37,0.87,0.44,0.37,0.76,0.44,0.47,0.81,0.43,0.42,0.85,0.53,0.37,0.75,0.55,0.47,0.75,0.54,0.55,0.89,0.46,0.57,0.71,0.45,0.72,0.89,0.44,0.88,0.7,0.52,0.57,0.67,0.5,0.73,0.9,0.5,0.88,0.76,0.49,0.26,0.87,0.5,0.26,0.9,0.47,0.28,0.72,0.52,0.28,0.59,1,wave,./input/wave/Colour 95-146-wave.png
0.5,0.27,0.96,0.5,0.36,0.87,0.46,0.36,0.77,0.44,0.47,0.76,0.44,0.56,0.76,0.55,0.36,0.92,0.6,0.4,0.92,0.56,0.32,0.84,0.47,0.58,0.7,0.47,0.73,0.89,0.47,0.87,0.72,0.53,0.57,0.72,0.52,0.73,0.92,0.52,0.87,0.77,0.5,0.26,0.88,0.51,0.26,0.8,0.49,0.28,0.56,0.53,0.27,0.75,1,wave,./input/wave/Colour 166-232-wave.png
0.47,0.35,0.99,0.46,0.43,0.76,0.42,0.44,0.75,0.41,0.53,0.77,0.39,0.62,0.82,0.5,0.43,0.79,0.53,0.49,0.9,0.51,0.4,0.92,0.43,0.62,0.75,0.43,0.78,0.72,0.42,0.91,0.76,0.5,0.62,0.71,0.49,0.78,0.78,0.5,0.92,0.78,0.46,0.35,0.83,0.48,0.35,0.79,0.44,0.36,0.74,0.49,0.35,0.86,1,wave,./input/wave/Colour 141-41-wave.png
0.53,0.24,0.89,0.53,0.34,0.87,0.48,0.35,0.81,0.45,0.46,0.81,0.46,0.55,0.83,0.58,0.34,0.84,0.62,0.31,0.85,0.58,0.22,0.89,0.49,0.55,0.72,0.5,0.71,0.71,0.5,0.86,0.73,0.56,0.54,0.68,0.55,0.71,0.77,0.55,0.86,0.73,0.52,0.23,0.88,0.55,0.24,0.83,0.5,0.25,0.88,0.56,0.26,0.81,1,wave,./input/wave/Colour 66-188-wave.png
0.53,0.27,0.98,0.52,0.36,0.89,0.48,0.36,0.7,0.46,0.48,0.78,0.46,0.57,0.79,0.57,0.36,0.84,0.62,0.4,0.91,0.63,0.31,0.89,0.49,0.58,0.71,0.49,0.73,0.85,0.49,0.87,0.79,0.55,0.58,0.66,0.55,0.73,0.85,0.55,0.88,0.81,0.52,0.26,0.84,0.54,0.27,0.89,0.5,0.28,0.75,0.55,0.28,0.65,1,wave,./input/wave/Colour 179-233-wave.png
0.49,0.3,0.88,0.49,0.39,0.8,0.44,0.39,0.74,0.42,0.49,0.77,0.43,0.58,0.78,0.53,0.39,0.77,0.57,0.36,0.8,0.55,0.28,0.74,0.45,0.59,0.71,0.44,0.74,0.84,0.43,0.87,0.88,0.51,0.58,0.63,0.52,0.74,0.79,0.52,0.88,0.83,0.48,0.29,0.89,0.5,0.29,0.94,0.47,0.3,0.81,0.51,0.31,0.92,1,wave,./input/wave/Colour 83-105-wave.png
0.46,0.35,0.91,0.46,0.44,0.87,0.42,0.44,0.79,0.41,0.53,0.74,0.39,0.62,0.82,0.5,0.43,0.85,0.53,0.49,0.82,0.55,0.4,0.92,0.43,0.62,0.75,0.43,0.78,0.74,0.42,0.91,0.75,0.5,0.62,0.72,0.49,0.78,0.78,0.5,0.92,0.79,0.45,0.35,0.86,0.48,0.34,0.8,0.44,0.36,0.69,0.49,0.36,0.95,1,wave,./input/wave/Colour 133-41-wave.png
0.46,0.35,0.88,0.46,0.43,0.79,0.43,0.44,0.75,0.41,0.53,0.75,0.39,0.63,0.81,0.5,0.43,0.71,0.53,0.5,0.84,0.5,0.41,0.9,0.43,0.62,0.75,0.43,0.78,0.71,0.42,0.91,0.75,0.5,0.62,0.72,0.49,0.78,0.78,0.5,0.92,0.78,0.46,0.34,0.84,0.48,0.34,0.82,0.45,0.36,0.48,0.5,0.35,0.84,1,wave,./input/wave/Colour 150-41-wave.png
0.5,0.28,0.75,0.49,0.37,0.84,0.44,0.37,0.73,0.43,0.48,0.65,0.43,0.45,0.83,0.54,0.37,0.76,0.55,0.47,0.81,0.55,0.55,0.93,0.46,0.57,0.69,0.45,0.72,0.88,0.44,0.87,0.67,0.52,0.57,0.67,0.5,0.72,0.9,0.5,0.88,0.77,0.49,0.27,0.86,0.5,0.27,0.9,0.47,0.28,0.63,0.52,0.28,0.56,1,wave,./input/wave/Colour 91-147-wave.png
